Año,Kilometraje,Marca,Modelo,Ha_tenido_accidentes
2013,18000,Hero,Glamour,0
2005,55000,Hero,Super Splendor,0
2008,60000,Bajaj,Pulsar 150,1
2012,25000,Bajaj,Discover 125,0
2007,49000,Hero,Hunk,1
2013,24000,Hero,Ignitor Disc,0
2008,50000,Hero,Cbz Xtreme,1
2015,35000,Bajaj,Ct 100,1
2008,500000,Activa,3G,0
2010,33000,Honda,Cb Twister,0
2011,35000,Bajaj,Discover 125,1
2007,53000,Honda,Cb Shine,0
2006,92233,Bajaj,Pulsar 150,0
2010,58000,I20,I20,0
2015,28200,Grand,I10,0
2011,53460,I10,I10,0
2015,28282,Eon,Eon,0
2016,3493,Grand,I10,1
2017,12479,Xcent,Xcent,1
2015,34797,Grand,I10,1
2017,3435,I20,I20,0
2015,21125,Grand,I10,1
2012,35775,I10,I10,0
2015,43535,Elantra,Elantra,0
2016,22671,Creta,Creta,1
2011,31604,I20,I20,0
2017,20114,Grand,I10,1
2012,36100,Verna,Verna,1
2016,12500,Eon,Eon,1
2016,15000,Eon,Eon,1
2014,45078,Verna,Verna,1
2012,36000,Verna,Verna,1
2017,38488,Eon,Eon,0
2013,32000,I20,I20,0
2014,77632,I20,I20,1
2015,61381,Verna,Verna,0
2013,36198,Verna,Verna,0
2011,22517,I10,I10,0
2015,24678,Grand,I10,1
2011,57000,I10,I10,0
2012,60000,Verna,Verna,0
2012,52132,I20,I20,1
2013,45000,Verna,Verna,0
2017,15001,Verna,Verna,0
2015,12900,Elantra,Elantra,0
2013,53000,Grand,I10,0
2015,4492,Grand,I10,0
2017,15141,Verna,Verna,0
2016,11849,Eon,Eon,0
2015,68000,Creta,Creta,1
2013,60241,Verna,Verna,0
2012,23709,Eon,Eon,0
2012,32322,Verna,Verna,0
2015,35866,Xcent,Xcent,0
2014,34000,Xcent,Xcent,1
2016,7000,I20,I20,1
2013,49000,Verna,Verna,1
2012,71000,Verna,Verna,0
2012,35000,I20,I20,1
2015,36000,Verna,Verna,0
2013,30000,I10,I10,1
2016,17000,I20,I20,1
2016,35934,Creta,Creta,0
2013,56701,City,City,1
2015,31427,Brio,Brio,1
2014,48000,City,City,1
2013,54242,City,City,0
2012,53675,Brio,Brio,0
2016,49562,City,City,1
2015,40324,City,City,0
2015,25000,City,City,0
2014,36054,Amaze,Amaze,0
2016,29223,City,City,1
2016,5600,Brio,Brio,0
2015,40023,Amaze,Amaze,1
2016,16002,Jazz,Jazz,0
2015,40026,Amaze,Amaze,0
2017,21200,Jazz,Jazz,1
2014,35000,Amaze,Amaze,1
2016,19434,City,City,0
2017,19000,Brio,Brio,1
2015,18828,City,City,1
2011,69341,City,City,0
2009,69562,City,City,1
2015,27600,City,City,0
2010,61203,Jazz,Jazz,0
2014,16500,Brio,Brio,1
2016,30753,City,City,0
2015,24800,City,City,0
2015,21780,City,City,0
2016,4000,Jazz,Jazz,1
2014,40126,City,City,1
2015,14465,Brio,Brio,0
2006,50456,City,City,1
2014,63000,City,City,0
2016,9010,City,City,1
2013,9800,Brio,Brio,1
2016,15059,Jazz,Jazz,1
2016,28569,Jazz,Jazz,0
2015,44000,Amaze,Amaze,0
2015,34000,City,City,1
2016,10980,City,City,1
2014,19000,Amaze,Amaze,0
2015,31427,Brio,Brio,0
2016,12000,Jazz,Jazz,1
2010,38000,City,City,0
2014,33019,Amaze,Amaze,1
2015,60076,City,City,0
2016,33988,City,City,1
2015,60000,Brio,Brio,1
2009,87934,City,City,0
2017,9000,City,City,0
2016,5464,Brio,Brio,0
