Año,Kilometraje,Marca,Modelo,Ha_tenido_accidentes,Precio_venta
2023,150498,Hyundai,i20,1,23.22
2016,135261,Chevrolet,Spark,1,15.84
2017,16434,Mazda,BT-50,0,25.68
2008,43345,Mazda,BT-50,1,11.57
2015,62171,Mazda,BT-50,0,20.51
2010,25733,Honda,Fit,0,16.92
2017,72091,Chevrolet,Spark,1,20.48
2011,41884,Kia,Rio,1,14.25
2016,122221,Chevrolet,Tracker,0,18.24
2016,170862,Nissan,Frontier,0,16.93
2008,220907,Chevrolet,Onix,1,1.22
2021,47515,Chevrolet,Tracker,1,25.84
2015,263444,Kia,Sportage,0,10.95
2020,108850,Kia,Sportage,0,27.34
2023,110074,Honda,Accord,1,27.05
2022,121099,Chevrolet,Onix,1,25.24
2023,103206,Nissan,Versa,0,31.22
2020,33499,Toyota,Yaris,0,29.21
2009,36528,Ford,Ranger,0,13.65
2010,91839,Hyundai,i20,1,9.61
2017,203505,Mazda,Mazda2,1,15.64
2011,6505,Mazda,Mazda3,0,17.98
2011,113738,Hyundai,Accent,1,10.35
2010,30825,Nissan,Frontier,1,12.51
2018,195971,Mazda,Mazda3,1,14.41
2020,26312,Kia,Cerato,1,24.99
2016,107205,Honda,Civic,0,21.74
2016,180621,Hyundai,Tucson,0,15.75
2017,6977,Hyundai,Tucson,0,26.19
2023,249183,Chevrolet,Spark,1,20.55
2012,265330,Kia,Picanto,0,4.29
2015,176861,Nissan,Sentra,1,12.78
2020,88853,Honda,Accord,0,27.29
2018,89249,Toyota,RAV4,1,22.01
2010,114230,Honda,CR-V,0,10.92
2015,74694,Mazda,Mazda3,1,17.61
2017,159026,Chevrolet,Spark,1,16.49
2016,109432,Hyundai,Tucson,1,16.6
2012,152510,Chevrolet,Onix,0,11.51
2015,270984,Kia,Sportage,0,10.39
2009,58651,Honda,Fit,0,12.67
2019,26161,Chevrolet,Tracker,1,24.31
2014,44382,Toyota,Yaris,1,17.92
2016,8323,Ford,Ranger,0,26.45
2009,198309,Hyundai,Elantra,1,3.16
2009,111662,Chevrolet,Cruze,0,10.75
2013,168680,Kia,Sportage,0,11.74
2010,218998,Mazda,BT-50,0,6.22
2013,213547,Ford,Fiesta,1,8.35
2021,31927,Nissan,Kicks,1,28.13
2021,14548,Hyundai,Accent,1,28.65
2014,8081,Kia,Picanto,1,20.8
2010,217975,Kia,Rio,1,4.46
2008,32103,Ford,Focus,0,13.14
2019,269483,Kia,Rio,0,14.97
2024,95064,Nissan,Sentra,0,32.05
2017,71401,Mazda,Mazda3,0,25.46
2009,208368,Mazda,CX-5,0,5.64
2020,107819,Ford,Focus,1,21.58
2020,276524,Chevrolet,Spark,0,16.79
2015,105975,Honda,Accord,0,20.26
2011,209386,Toyota,Hilux,1,6.41
2017,135683,Nissan,Frontier,1,17.06
2024,234823,Hyundai,Accent,0,24.02
2015,239261,Mazda,BT-50,1,10.96
2011,40190,Mazda,BT-50,0,16.34
2022,269420,Hyundai,i20,0,19.15
2018,273163,Ford,Fiesta,0,12.99
2008,39802,Kia,Cerato,0,11.37
2013,120934,Mazda,CX-5,0,16.28
2018,149175,Nissan,Sentra,1,16.96
2016,270293,Mazda,Mazda3,0,10.94
2013,216532,Toyota,Yaris,0,10.38
2020,93469,Nissan,Kicks,1,22.06
2022,278391,Toyota,Hilux,0,19.29
2016,201995,Kia,Sportage,1,13.22
2010,236882,Hyundai,Tucson,0,3.37
2024,137986,Toyota,Hilux,1,26.63
2009,121201,Hyundai,i20,0,8.64
2024,195892,Kia,Picanto,0,26.51
2008,33517,Chevrolet,Spark,0,12.84
2024,192250,Nissan,Versa,0,27.56
2014,197012,Nissan,Sentra,1,9.65
2012,241376,Toyota,Yaris,0,5.78
2020,143537,Ford,Escape,0,23.19
2024,263396,Hyundai,Accent,0,22.86
2009,18225,Toyota,Corolla,1,11.8
2011,11475,Ford,Fiesta,0,17.29
2013,271640,Chevrolet,Tracker,1,4.56
2008,201691,Toyota,RAV4,1,3.54
2022,96955,Mazda,Mazda2,0,31.6
2009,69627,Nissan,Sentra,1,11.49
2016,233617,Nissan,Versa,1,10.88
2024,12983,Chevrolet,Spark,0,37.06
2013,176374,Chevrolet,Onix,0,13.34
2020,251149,Hyundai,Elantra,1,16.78
2021,127593,Toyota,Corolla,1,23.74
2013,80809,Kia,Rio,0,16.09
2019,79365,Honda,Accord,0,25.18
2010,29478,Ford,Fiesta,0,16.93
2010,206244,Hyundai,Elantra,0,5.28
2009,23049,Chevrolet,Spark,0,15.69
2011,74548,Nissan,Frontier,0,15.73
2018,181431,Chevrolet,Cruze,1,15.79
2017,30379,Hyundai,Tucson,1,23.6
2008,221489,Mazda,CX-5,0,2.81
2023,30227,Honda,CR-V,0,35.96
2013,233619,Honda,CR-V,0,9.09
2008,187349,Nissan,Versa,1,2.27
2019,275081,Ford,Ranger,1,13.59
2014,126387,Ford,Escape,1,13.0
2011,176255,Honda,Fit,1,6.61
2021,18198,Kia,Rio,1,27.16
2024,94708,Nissan,Frontier,1,29.7
2012,22765,Chevrolet,Tracker,1,16.59
2018,93893,Ford,Ranger,1,20.46
2012,180140,Nissan,Sentra,1,9.35
2016,163076,Chevrolet,Onix,0,18.11
2024,187783,Chevrolet,Cruze,0,27.28
2011,91298,Chevrolet,Cruze,0,13.01
2017,160925,Ford,Focus,1,15.52
2016,113236,Honda,Civic,1,17.07
2021,121629,Toyota,RAV4,1,23.05
2020,7892,Ford,Escape,0,33.29
2015,124855,Kia,Picanto,0,18.49
2018,141214,Mazda,BT-50,0,22.84
2013,136103,Chevrolet,Tracker,1,12.22
2024,100977,Toyota,RAV4,1,28.79
2011,24999,Kia,Picanto,1,15.1
2024,187561,Ford,Focus,0,29.12
2023,273535,Mazda,Mazda3,0,22.22
2021,244552,Hyundai,Tucson,0,21.88
2024,69170,Ford,Ranger,1,29.87
2020,214549,Nissan,Kicks,0,19.12
2019,144018,Kia,Picanto,0,22.17
2020,247282,Kia,Cerato,0,17.76
2023,123482,Honda,Accord,0,29.7
2017,70623,Kia,Picanto,1,20.03
2020,137932,Chevrolet,Cruze,1,21.65
2016,192683,Mazda,Mazda2,0,16.26
2023,229653,Hyundai,Accent,0,24.72
2017,206908,Hyundai,Elantra,0,15.26
2024,185958,Hyundai,Elantra,0,28.64
2017,136085,Chevrolet,Spark,0,20.68
2022,186636,Chevrolet,Onix,0,24.26
2010,160736,Kia,Cerato,0,8.55
2022,66331,Chevrolet,Spark,0,31.11
2023,263514,Chevrolet,Onix,0,22.31
2015,266187,Ford,Ranger,0,10.33
2018,250346,Toyota,Yaris,1,13.75
2021,224580,Mazda,CX-5,0,20.56
2008,29049,Hyundai,i20,1,11.88
2023,80754,Honda,Fit,0,31.65
2018,54527,Kia,Cerato,1,22.02
2021,184283,Chevrolet,Cruze,1,19.45
2017,191215,Toyota,Hilux,1,14.48
2014,263050,Nissan,Kicks,0,8.38
2012,50915,Hyundai,Tucson,0,17.37
