Año,Kilometraje,Marca,Modelo,Ha_tenido_accidentes,Precio_venta
2015,111783,Renault,Sandero,1,13963825
2012,88776,Toyota,Yaris,1,16324798
2016,175357,Ford,Focus,0,27013418
2012,37213,Mazda,Mazda3,0,35034008
2017,207724,Renault,Logan,0,13731424
2010,78463,Mazda,CX-5,0,37689988
2011,146222,Renault,Logan,1,7941124
2014,148102,Kia,Picanto,0,11170626
2023,257986,Volkswagen,Polo,0,29879644
2011,159982,Chevrolet,Onix,0,11262301
2010,171503,Toyota,Hilux,0,35005997
2020,118580,Chevrolet,Tracker,0,52506223
2022,168436,Volkswagen,Gol,0,18775394
2025,76265,Hyundai,Elantra,0,79817655
2022,9003,Volkswagen,Gol,0,28818424
2021,50235,Chevrolet,Spark GT,1,17952737
2013,236032,Mazda,Mazda3,0,20373911
2014,68079,Kia,Rio,0,26933475
2013,176648,Volkswagen,Jetta,0,30643517
2019,117214,Hyundai,Elantra,0,47650505
2013,246395,Mazda,CX-5,0,32235966
2015,217031,Hyundai,Tucson,0,39976188
2017,242061,Nissan,Versa,1,16740915
2018,112441,Mazda,Mazda2,0,40176216
2010,33985,Kia,Picanto,0,8944302
2019,83633,Toyota,Yaris,0,40370210
2014,82770,Hyundai,Accent,0,25750730
2025,13787,Nissan,Versa,0,72480805
2011,146147,Chevrolet,Spark GT,0,6843625
2016,107046,Ford,Ranger,0,91375168
2021,21557,Nissan,Frontier,0,150142904
2011,248133,Mazda,Mazda3,0,15008815
2011,42943,Toyota,Yaris,0,20641535
2025,163287,Toyota,RAV4,0,114753764
2013,24887,Nissan,Sentra,1,30190274
2019,97627,Chevrolet,Tracker,0,52215433
2015,141856,Kia,Rio,0,23968603
2010,235381,Volkswagen,Gol,0,5201965
2013,121025,Volkswagen,Jetta,0,33827409
2010,99429,Volkswagen,Polo,0,17530757
2019,220496,Hyundai,Tucson,0,54557452
2015,12401,Hyundai,Accent,0,32249557
2023,175879,Ford,Focus,0,42663860
2022,257669,Mazda,Mazda2,1,24728184
2017,232582,Mazda,Mazda3,0,30276203
2023,207893,Hyundai,Elantra,0,48009490
2025,48256,Kia,Rio,0,59567886
2021,246657,Toyota,Yaris,1,19250492
2022,197127,Chevrolet,Tracker,0,45200749
2015,204364,Renault,Duster,0,24809632
2014,74532,Toyota,RAV4,0,72510764
2012,113903,Ford,Fiesta,0,17335030
2011,169213,Nissan,Sentra,0,19674200
2024,123593,Mazda,Mazda3,1,53681095
2020,206029,Hyundai,Elantra,0,40529146
2020,176476,Volkswagen,Polo,0,33300213
2025,114346,Ford,Fiesta,0,40248611
2021,144709,Chevrolet,Onix,0,27430862
2013,148382,Renault,Logan,1,9599441
2023,106776,Ford,Ranger,0,131301156
2021,62000,Renault,Logan,0,27778054
2022,21200,Ford,Fiesta,0,49347558
2018,25498,Mazda,Mazda2,0,47534933
2012,112690,Renault,Logan,0,11864607
2023,250912,Ford,Ranger,0,77233998
2019,250169,Toyota,Corolla,0,33404680
2021,18543,Hyundai,Elantra,0,71501526
2022,133094,Toyota,RAV4,0,111001943
2019,41769,Kia,Rio,0,42112883
2011,163384,Renault,Duster,0,17860360
2025,148306,Hyundai,Accent,0,40678906
2024,128434,Chevrolet,Spark GT,0,19452224
2018,116388,Ford,Focus,0,39330286
2013,239625,Nissan,Sentra,0,19798826
2014,63118,Nissan,Frontier,0,73981415
2024,179492,Nissan,Frontier,0,108045058
2017,240037,Kia,Picanto,0,10075749
2022,145579,Mazda,CX-5,1,74745869
2021,185397,Chevrolet,Spark GT,0,13080125
2014,44024,Kia,Rio,0,28615544
2016,156161,Renault,Sandero,0,16646287
2024,8749,Kia,Picanto,0,32248985
2011,28362,Chevrolet,Onix,0,16441761
2024,116066,Mazda,Mazda2,0,57141902
2017,173563,Volkswagen,Gol,1,11923628
2019,46781,Renault,Duster,0,52774022
2022,252893,Hyundai,Tucson,1,46829490
2015,241711,Nissan,Sentra,0,22061724
2024,134584,Kia,Sportage,1,77472746
2015,62920,Renault,Logan,0,18780441
2015,185708,Mazda,Mazda3,1,26207916
2017,209857,Nissan,Versa,0,25013280
2018,149236,Mazda,Mazda3,0,43491588
2016,259383,Chevrolet,Tracker,0,23964421
2019,258146,Mazda,Mazda3,0,31144798
2012,116311,Hyundai,Tucson,0,40464322
2010,39073,Ford,Ranger,0,51292707
2013,184602,Ford,Focus,0,22029749
2017,257465,Hyundai,Accent,0,18292854
2012,29131,Kia,Rio,1,19790388
2024,103554,Hyundai,Elantra,0,67875528
2024,200131,Hyundai,Accent,1,27830559
2023,99491,Volkswagen,Gol,0,24860382
2023,182165,Hyundai,Elantra,0,52761750
2017,178655,Renault,Sandero,0,15476169
2020,256157,Hyundai,Elantra,0,33451513
2011,64241,Hyundai,Elantra,1,21840146
2025,49789,Kia,Picanto,0,30273741
2014,47371,Chevrolet,Spark GT,0,12766941
2011,102053,Volkswagen,Polo,0,19035672
2012,62866,Hyundai,Accent,0,20536622
2021,46024,Kia,Picanto,0,23701393
2025,164304,Ford,Ranger,1,101138770
2017,28984,Ford,Focus,0,44709706
2016,60225,Hyundai,Accent,1,26791582
2025,142909,Mazda,CX-5,0,104836887
2022,213236,Renault,Sandero,0,18712944
2011,175981,Renault,Logan,0,8692635
2025,77218,Kia,Rio,1,45802982
2017,42010,Hyundai,Accent,1,28311629
2013,163727,Renault,Sandero,0,11247593
2011,171902,Toyota,Hilux,0,43424348
2013,46900,Hyundai,Tucson,0,59857995
2023,66476,Kia,Sportage,0,108509009
2020,75843,Renault,Duster,0,55174377
2025,98759,Kia,Sportage,0,106361303
2012,171290,Ford,Focus,1,16240433
2022,180335,Toyota,Hilux,0,97240758
2016,172545,Hyundai,Accent,0,23027630
2017,116140,Chevrolet,Onix,1,20105355
2016,243505,Nissan,Sentra,1,20862556
2015,66715,Renault,Duster,1,31737651
2022,106152,Hyundai,Accent,0,42726779
2022,258589,Volkswagen,Polo,0,27680661
2020,61102,Nissan,Versa,0,48589131
2023,169559,Toyota,Yaris,0,37545127
2025,6831,Mazda,Mazda2,0,77000646
2015,189644,Nissan,Versa,0,20946515
2017,51736,Renault,Sandero,0,23532802
2016,127046,Toyota,Corolla,0,41532703
2025,196480,Chevrolet,Tracker,0,54095218
2023,30552,Renault,Logan,0,34514065
2012,39400,Hyundai,Tucson,0,52858730
2014,67295,Renault,Duster,0,33789534
2019,26896,Kia,Sportage,0,87831644
2021,256443,Kia,Rio,0,22972419
2012,186110,Kia,Picanto,0,7393348
2022,66286,Volkswagen,Jetta,0,78811476
2016,147674,Ford,Ranger,0,73301701
2013,237989,Toyota,Corolla,0,20725189
2010,242576,Volkswagen,Jetta,0,15133422
2014,35887,Hyundai,Tucson,0,68426079
2019,226139,Chevrolet,Tracker,0,34051765
2012,73954,Ford,Fiesta,0,17610435
2024,90764,Nissan,Frontier,1,115666553
2019,141781,Chevrolet,Tracker,0,46723026
2019,46364,Ford,Ranger,0,124759054
2012,26526,Ford,Focus,0,30894909
2017,185333,Ford,Focus,0,29111488
2018,177338,Volkswagen,Jetta,0,45084794
2024,181040,Toyota,Corolla,1,48944465
2024,191453,Nissan,Versa,0,40911568
2017,24318,Kia,Picanto,1,17050782
2014,84804,Kia,Rio,0,25193338
2011,234522,Mazda,Mazda2,0,12257046
2017,79058,Toyota,Hilux,0,101045944
2016,59117,Ford,Fiesta,0,27524322
2020,50364,Kia,Picanto,0,22428266
2024,199198,Renault,Sandero,0,22247721
2024,116251,Toyota,Yaris,0,46088531
2017,258495,Kia,Picanto,0,9306158
2021,78866,Toyota,Corolla,0,67292279
2012,52699,Nissan,Frontier,0,66222543
2013,40079,Toyota,Yaris,0,27367772
2010,17521,Volkswagen,Jetta,0,29988944
2021,49674,Ford,Ranger,0,151260669
2018,57711,Mazda,Mazda2,0,44010881
2010,142469,Hyundai,Tucson,0,28592115
2025,6955,Kia,Picanto,0,31483722
2024,190590,Ford,Ranger,0,105428426
2025,185993,Mazda,Mazda2,0,42540135
2010,55266,Renault,Sandero,0,11657655
2025,121024,Nissan,Versa,0,54591139
2022,92657,Mazda,CX-5,1,84826652
2016,47463,Toyota,Yaris,0,33555537
2013,3339,Chevrolet,Tracker,0,38008203
2020,176804,Mazda,Mazda2,0,37458897
2019,252684,Hyundai,Tucson,0,49302569
2014,254811,Ford,Focus,0,16921564
2012,97166,Mazda,Mazda3,0,31316334
2015,161096,Toyota,RAV4,0,63094965
2021,156443,Renault,Sandero,0,22944641
2015,138531,Kia,Sportage,0,52841340
2019,76489,Toyota,Hilux,0,118704419
2021,193139,Volkswagen,Gol,1,13386861
2016,13376,Mazda,CX-5,0,92285472
2024,137902,Volkswagen,Jetta,1,57972772
2023,73411,Hyundai,Tucson,0,112987626
2024,257828,Renault,Duster,0,34729207
2025,15727,Kia,Rio,0,61051049
2025,37238,Toyota,Yaris,0,60329364
2020,228736,Hyundai,Elantra,0,35308612
2015,239450,Toyota,Corolla,0,25225178
2020,241430,Volkswagen,Jetta,0,39665198
2017,230755,Ford,Focus,0,25195043
2023,185127,Hyundai,Tucson,0,78860117
2022,147356,Toyota,Corolla,1,51941749
2018,77252,Ford,Fiesta,1,25073035
2014,253948,Ford,Focus,0,17302028
2016,95385,Mazda,CX-5,1,55902242
2024,252886,Nissan,Versa,0,30768310
2016,139107,Renault,Logan,0,15090296
2013,66394,Toyota,Yaris,0,24874864
2022,92431,Renault,Sandero,0,27729097
2013,215130,Nissan,Versa,0,16961839
2010,146449,Volkswagen,Gol,0,6822980
2024,216898,Chevrolet,Tracker,0,44535240
2012,166967,Toyota,Yaris,0,16993254
2012,233466,Renault,Logan,0,7077941
2024,128897,Ford,Ranger,0,129688228
2017,31069,Nissan,Sentra,0,53789062
2022,87667,Volkswagen,Gol,0,24649822
2012,124271,Toyota,RAV4,0,49771641
2025,215799,Hyundai,Tucson,0,73120758
2015,110906,Hyundai,Accent,0,25392240
2019,82871,Ford,Ranger,0,115550453
2017,153548,Volkswagen,Polo,0,31159753
2020,64307,Mazda,Mazda3,0,62353669
2020,152715,Renault,Duster,0,45981010
2011,127186,Nissan,Frontier,0,45180488
2010,120748,Hyundai,Accent,1,10386600
2020,50277,Volkswagen,Gol,0,25040018
2013,197923,Chevrolet,Tracker,0,23171741
2020,137175,Mazda,Mazda3,0,53985178
2019,240388,Nissan,Sentra,0,29715025
2022,73289,Kia,Picanto,0,25182700
2013,60516,Toyota,Corolla,0,40972498
2014,101467,Toyota,Yaris,0,25386343
2023,32847,Mazda,Mazda3,0,79261567
2015,91849,Volkswagen,Gol,0,15383858
2020,112372,Hyundai,Elantra,0,53242524
2023,79709,Mazda,Mazda2,1,47638225
2015,91036,Kia,Rio,0,26183072
2020,83071,Chevrolet,Spark GT,0,18575889
2018,216016,Ford,Ranger,0,70245692
2018,228320,Volkswagen,Polo,0,25721441
2011,196367,Volkswagen,Gol,0,6855742
2024,13491,Toyota,Yaris,1,47813200
2017,189621,Chevrolet,Spark GT,0,9826345
2011,5976,Renault,Duster,0,28919619
2013,105294,Chevrolet,Spark GT,0,9218736
2015,222935,Renault,Sandero,1,8922313
2012,175516,Hyundai,Accent,0,14460988
2020,162498,Nissan,Sentra,1,38389643
2025,71988,Volkswagen,Polo,1,51169845
2022,193930,Volkswagen,Polo,1,29356015
2021,223238,Ford,Focus,1,26925035
2024,4425,Toyota,Yaris,0,64215182
2023,167621,Volkswagen,Gol,0,20846897
2025,141895,Hyundai,Tucson,0,104837582
2019,233821,Hyundai,Tucson,0,49930255
2018,229621,Hyundai,Tucson,0,47889239
2015,157886,Renault,Duster,0,30338142
2020,215330,Chevrolet,Tracker,1,30065612
2018,223873,Ford,Ranger,0,65904037
2015,202139,Mazda,Mazda3,0,30368357
2018,259915,Toyota,RAV4,1,45051282
2023,194820,Hyundai,Accent,1,24699162
2012,140394,Nissan,Frontier,0,52428413
2014,152302,Chevrolet,Tracker,0,28053326
2021,206622,Mazda,CX-5,1,53325558
2013,155077,Hyundai,Elantra,0,26268955
2020,20386,Hyundai,Accent,0,44167261
2017,71158,Nissan,Sentra,0,46742253
2018,159677,Volkswagen,Polo,0,34054683
2012,36996,Renault,Sandero,0,14544665
2011,154992,Kia,Picanto,0,7447915
2022,21303,Renault,Sandero,1,30035383
2022,20499,Kia,Rio,0,52462193
2025,59786,Ford,Focus,0,72697866
2025,21469,Hyundai,Elantra,0,90731665
2024,170191,Renault,Logan,0,23820068
2024,141222,Kia,Picanto,0,21297840
2022,20495,Mazda,Mazda3,0,79821977
2013,82980,Toyota,Corolla,0,37376698
2011,188080,Mazda,Mazda2,0,15592069
2012,122777,Ford,Ranger,0,53856053
2024,240037,Mazda,Mazda3,0,42311579
2015,198469,Toyota,Hilux,1,49481647
2020,20780,Mazda,Mazda2,0,58979083
2016,177437,Mazda,Mazda2,0,27480197
2023,244482,Nissan,Sentra,0,36773716
2017,76527,Mazda,Mazda2,1,32922390
2022,183369,Toyota,RAV4,0,93422421
2019,99489,Chevrolet,Onix,0,28780954
2015,122659,Renault,Sandero,0,16305203
2011,104590,Hyundai,Elantra,0,25457484
2022,208595,Kia,Rio,0,31405285
2022,230458,Renault,Logan,1,13834091
2020,156881,Chevrolet,Onix,0,25650915
2017,238314,Ford,Focus,0,24850206
2013,71901,Hyundai,Elantra,0,36234268
2017,14909,Renault,Duster,0,49789946
2023,21470,Renault,Logan,0,35409320
2020,238072,Toyota,RAV4,1,53548864
2020,94772,Volkswagen,Gol,0,22432901
2018,100298,Nissan,Sentra,0,46077686
2014,39363,Kia,Sportage,0,58019193
2020,45313,Ford,Ranger,0,138908810
2025,161469,Renault,Duster,0,51893476
2023,120885,Toyota,Yaris,0,42446556
2019,36435,Mazda,CX-5,0,105996042
2023,188436,Volkswagen,Polo,0,38828193
2018,168449,Chevrolet,Spark GT,0,12613447
2012,17936,Toyota,Hilux,0,76018131
2012,169987,Toyota,Corolla,0,25824775
2018,161899,Chevrolet,Onix,0,22628226
2019,209753,Toyota,Hilux,1,64062698
2010,229219,Chevrolet,Onix,0,7301473
2012,221530,Kia,Picanto,0,6348234
2022,192955,Chevrolet,Spark GT,0,14599476
2011,114522,Toyota,Hilux,1,41523053
2022,190908,Toyota,Yaris,0,31959066
2018,206635,Kia,Rio,0,24340442
2018,175472,Kia,Rio,0,26886750
2024,26731,Renault,Logan,0,37750029
2010,250821,Ford,Fiesta,0,7813046
2023,52397,Volkswagen,Polo,0,56364454
2025,191337,Chevrolet,Spark GT,0,15525953
2017,36130,Chevrolet,Spark GT,0,15894862
2019,15260,Mazda,CX-5,1,94588849
2019,9193,Mazda,CX-5,0,107600527
2024,112447,Chevrolet,Spark GT,0,20585496
2025,184593,Mazda,Mazda2,0,45485253
2018,209751,Mazda,Mazda2,0,28497857
2010,238328,Volkswagen,Jetta,0,14567708
2014,33179,Renault,Logan,0,18523004
2019,93005,Nissan,Frontier,1,87647955
2016,236537,Ford,Fiesta,0,16199880
2013,210233,Chevrolet,Spark GT,0,6901344
2016,114666,Kia,Rio,0,26497457
2014,144644,Chevrolet,Tracker,0,31323614
2010,119879,Mazda,Mazda3,1,17090353
2018,19893,Nissan,Versa,0,44064740
2023,57008,Ford,Fiesta,1,36365248
2019,155883,Renault,Sandero,0,19271067
2016,57964,Chevrolet,Spark GT,0,13644638
2015,133789,Ford,Ranger,1,59033555
2023,190436,Ford,Fiesta,0,30692857
2012,99271,Toyota,Corolla,0,33088030
2015,195390,Ford,Fiesta,0,17841243
2020,52137,Nissan,Versa,0,46398058
2021,201919,Ford,Focus,0,37366040
2017,101193,Toyota,Corolla,0,49560961
2011,253378,Nissan,Sentra,0,14009389
2020,209720,Kia,Rio,0,26455030
2011,220889,Toyota,Corolla,0,18658063
2012,153894,Volkswagen,Polo,1,14779646
2011,76695,Hyundai,Elantra,0,27760938
2010,178434,Kia,Rio,0,11459182
2014,107212,Renault,Logan,1,12167143
2018,94380,Chevrolet,Tracker,1,41710723
2023,34058,Nissan,Sentra,0,76223428
2015,41756,Volkswagen,Polo,0,36943028
2019,253016,Mazda,Mazda2,0,24317016
2020,199898,Nissan,Frontier,0,82206288
2017,220897,Chevrolet,Tracker,0,27136957
2016,15558,Toyota,Hilux,0,107562391
2021,72190,Hyundai,Elantra,0,65256823
2017,239621,Kia,Picanto,1,8100248
2024,148861,Chevrolet,Tracker,0,54414511
2022,173366,Chevrolet,Onix,0,26107416
2021,120582,Renault,Duster,1,43587877
2018,136403,Nissan,Sentra,0,45826907
2016,252007,Toyota,Hilux,0,50800111
2018,20283,Hyundai,Accent,0,37784707
2013,34826,Nissan,Sentra,0,38730477
2024,6056,Kia,Sportage,0,127229851
2015,176571,Mazda,Mazda2,0,23156265
2012,82448,Renault,Sandero,0,13135413
2013,117983,Nissan,Versa,0,22767623
2016,45049,Renault,Sandero,0,21368277
2010,205128,Mazda,Mazda3,0,16375294
2018,254323,Renault,Logan,0,11538010
2016,60192,Kia,Sportage,0,69434733
2010,175876,Volkswagen,Polo,0,13981731
2021,232149,Volkswagen,Jetta,0,43704703
2011,123997,Kia,Rio,0,16363265
2010,154172,Mazda,CX-5,0,31892468
2010,19904,Nissan,Frontier,1,41671100
2022,50104,Mazda,Mazda2,0,61026456
2013,72752,Toyota,RAV4,0,67733096
2024,217135,Toyota,RAV4,0,86128734
2023,175049,Nissan,Versa,0,40628092
2014,135525,Nissan,Sentra,0,32342668
2019,208866,Hyundai,Elantra,1,31190495
2011,20826,Hyundai,Accent,1,16973897
2022,8354,Toyota,Corolla,0,84966857
2025,31924,Nissan,Versa,0,64306370
2022,6053,Toyota,Corolla,0,86467634
2024,189516,Kia,Rio,0,36014665
2022,185700,Renault,Duster,0,42874176
2024,4024,Ford,Ranger,0,181957692
2024,210576,Toyota,Hilux,1,79011765
2010,13788,Kia,Sportage,0,37548731
2013,231209,Renault,Duster,0,17829896
2018,220850,Renault,Sandero,0,14655586
2013,210780,Renault,Sandero,0,9534002
2017,227289,Chevrolet,Spark GT,0,9011091
2023,157899,Renault,Sandero,0,25162065
2022,146375,Mazda,Mazda2,0,44224774
2025,201582,Hyundai,Tucson,0,79639357
2014,35096,Ford,Focus,0,35966717
2018,76737,Kia,Rio,0,34103363
2012,53787,Toyota,Yaris,0,22168553
2021,109328,Chevrolet,Tracker,0,53399570
2019,139745,Toyota,Hilux,0,99418882
2020,253242,Chevrolet,Spark GT,0,10134586
2013,48719,Kia,Rio,0,24504066
2012,96241,Chevrolet,Spark GT,0,8561230
2022,109082,Chevrolet,Spark GT,0,17993676
2016,219346,Renault,Duster,0,24292643
2013,37668,Mazda,CX-5,0,61860964
2015,237600,Ford,Ranger,0,49745242
2011,184851,Nissan,Sentra,0,18644723
2016,201295,Volkswagen,Polo,0,23019692
2025,83297,Volkswagen,Gol,1,25430886
2024,94735,Ford,Fiesta,0,45345201
2021,47137,Nissan,Sentra,0,67334424
2013,206947,Ford,Focus,0,18673247
2011,76374,Chevrolet,Onix,0,15610703
2020,204848,Renault,Duster,0,36681445
2017,50456,Mazda,Mazda2,0,40049394
2016,109103,Nissan,Frontier,0,86056423
