Año,Kilometraje,Marca,Modelo,Ha_tenido_accidentes,Precio_venta
2015,16600,Bajaj,Avenger 220 Dtsi,1,4.52
2013,32000,Honda,Cbr 150,1,12.67
2016,20000,Bajaj,Avenger 150 Street,0,14.42
2015,29000,Yamaha,Fz V 2.0,0,7.73
2016,25000,Yamaha,Fz V 2.0,1,22.0
2014,25000,Bajaj,Pulsar Ns 200,1,11.44
2012,19000,Tvs,Apache Rtr 160,1,6.48
2014,15000,Hero,Extreme,1,14.17
2015,58000,Yamaha,Fz S V 2.0,1,18.65
2010,45000,Bajaj,Pulsar 220 F,0,6.23
2016,24000,Bajaj,Pulsar 220 F,0,8.83
2011,6000,Tvs,Apache Rtr 180,0,24.89
2016,31000,Hero,Passion X Pro,0,16.77
2012,13000,Bajaj,Pulsar Ns 200,1,11.8
2013,45000,Bajaj,Pulsar Ns 200,0,13.66
2014,8000,Yamaha,Fazer,0,4.34
2017,4300,Honda,Activa 4G,0,6.78
2017,15000,Tvs,Sport,0,9.45
2015,23000,Yamaha,Fz S V 2.0,0,15.33
2017,8600,Honda,Dream Yuga,0,6.91
2017,4000,Honda,Activa 4G,0,6.68
2011,24000,Bajaj,Avenger Street 220,0,3.17
2014,23000,Tvs,Apache Rtr 180,0,16.33
2012,14500,Bajaj,Pulsar Ns 200,1,6.88
2010,27000,Bajaj,Avenger 220 Dtsi,0,22.78
2016,14000,Hero,Splender Ismart,0,21.7
2016,500,Activa,3G,1,3.17
2016,1000,Hero,Passion Pro,1,7.09
2014,42000,Tvs,Apache Rtr 160,0,17.22
2013,12000,Honda,Cb Trigger,0,6.53
2015,14000,Hero,Splender Ismart,1,4.61
2012,5500,Yamaha,Fz S,0,23.48
2015,6700,Hero,Passion Pro,1,14.92
2014,13700,Bajaj,Pulsar 135 Ls,1,12.61
2017,1300,Activa,4G,0,19.94
2015,38600,Honda,Cb Unicorn,0,20.48
2011,75000,Hero,Honda Cbz Extreme,0,5.97
2011,30000,Honda,Karizma,1,3.78
2016,24000,Honda,Activa 125,1,11.63
2014,19000,Tvs,Jupyter,1,11.45
2010,213000,Honda,Karizma,1,12.48
2012,60000,Hero,Honda Passion Pro,1,18.63
2016,50000,Hero,Splender Plus,0,17.32
2013,30000,Honda,Cb Shine,0,24.63
2013,21000,Bajaj,Discover 100,0,3.81
2008,26000,Bajaj,Pulsar 150,1,10.96
2008,1900,Suzuki,Access 125,1,9.47
2010,22000,Tvs,Wego,0,21.75
2013,32000,Honda,Cb Twister,0,7.34
2013,18000,Hero,Glamour,0,5.97
2005,55000,Hero,Super Splendor,0,12.04
2008,60000,Bajaj,Pulsar 150,1,11.41
2012,25000,Bajaj,Discover 125,0,8.05
2007,49000,Hero,Hunk,1,7.37
2013,24000,Hero,Ignitor Disc,0,23.2
2008,50000,Hero,Cbz Xtreme,1,11.91
2015,35000,Bajaj,Ct 100,1,21.74
2008,500000,Activa,3G,0,14.43
2010,33000,Honda,Cb Twister,0,2.69
2011,35000,Bajaj,Discover 125,1,24.98
2007,53000,Honda,Cb Shine,0,21.15
2006,92233,Bajaj,Pulsar 150,0,24.27
2010,58000,I20,I20,0,23.27
2015,28200,Grand,I10,0,21.44
2011,53460,I10,I10,0,5.41
2015,28282,Eon,Eon,0,12.91
2016,3493,Grand,I10,1,6.52
2017,12479,Xcent,Xcent,1,10.92
2015,34797,Grand,I10,1,2.88
2017,3435,I20,I20,0,10.41
2015,21125,Grand,I10,1,24.65
2012,35775,I10,I10,0,7.73
2015,43535,Elantra,Elantra,0,19.93
2016,22671,Creta,Creta,1,12.19
2011,31604,I20,I20,0,11.44
2017,20114,Grand,I10,1,24.0
2012,36100,Verna,Verna,1,24.89
2016,12500,Eon,Eon,1,14.56
2016,15000,Eon,Eon,1,18.38
2014,45078,Verna,Verna,1,5.14
2012,36000,Verna,Verna,1,8.47
2017,38488,Eon,Eon,0,24.26
2013,32000,I20,I20,0,15.11
2014,77632,I20,I20,1,14.24
2015,61381,Verna,Verna,0,19.08
2013,36198,Verna,Verna,0,2.84
2011,22517,I10,I10,0,15.23
2015,24678,Grand,I10,1,13.32
2011,57000,I10,I10,0,21.54
2012,60000,Verna,Verna,0,5.2
2012,52132,I20,I20,1,24.08
2013,45000,Verna,Verna,0,3.38
2017,15001,Verna,Verna,0,5.87
2015,12900,Elantra,Elantra,0,15.48
2013,53000,Grand,I10,0,17.37
2015,4492,Grand,I10,0,7.03
2017,15141,Verna,Verna,0,4.32
2016,11849,Eon,Eon,0,22.42
2015,68000,Creta,Creta,1,7.29
2013,60241,Verna,Verna,0,15.47
2012,23709,Eon,Eon,0,16.06
2012,32322,Verna,Verna,0,11.35
2015,35866,Xcent,Xcent,0,15.22
2014,34000,Xcent,Xcent,1,13.79
2016,7000,I20,I20,1,23.47
2013,49000,Verna,Verna,1,6.3
2012,71000,Verna,Verna,0,18.33
2012,35000,I20,I20,1,7.11
2015,36000,Verna,Verna,0,10.8
2013,30000,I10,I10,1,17.28
2016,17000,I20,I20,1,8.55
2016,35934,Creta,Creta,0,8.93
2013,56701,City,City,1,19.17
2015,31427,Brio,Brio,1,3.2
2014,48000,City,City,1,12.27
2013,54242,City,City,0,24.96
2012,53675,Brio,Brio,0,24.91
2016,49562,City,City,1,3.22
2015,40324,City,City,0,6.51
2015,25000,City,City,0,7.73
2014,36054,Amaze,Amaze,0,23.43
2016,29223,City,City,1,22.2
2016,5600,Brio,Brio,0,22.16
2015,40023,Amaze,Amaze,1,10.18
2016,16002,Jazz,Jazz,0,5.21
2015,40026,Amaze,Amaze,0,21.09
2017,21200,Jazz,Jazz,1,18.03
2014,35000,Amaze,Amaze,1,15.87
2016,19434,City,City,0,24.7
2017,19000,Brio,Brio,1,16.87
2015,18828,City,City,1,1.68
2011,69341,City,City,0,20.7
2009,69562,City,City,1,8.54
2015,27600,City,City,0,17.09
2010,61203,Jazz,Jazz,0,23.56
2014,16500,Brio,Brio,1,4.66
2016,30753,City,City,0,4.21
2015,24800,City,City,0,4.02
2015,21780,City,City,0,14.5
2016,4000,Jazz,Jazz,1,7.9
2014,40126,City,City,1,15.71
2015,14465,Brio,Brio,0,18.36
2006,50456,City,City,1,6.28
2014,63000,City,City,0,16.4
2016,9010,City,City,1,7.7
2013,9800,Brio,Brio,1,12.98
2016,15059,Jazz,Jazz,1,22.78
2016,28569,Jazz,Jazz,0,21.38
2015,44000,Amaze,Amaze,0,3.67
2015,34000,City,City,1,11.45
2016,10980,City,City,1,8.0
2014,19000,Amaze,Amaze,0,1.58
2015,31427,Brio,Brio,0,19.62
2016,12000,Jazz,Jazz,1,16.47
2010,38000,City,City,0,7.66
2014,33019,Amaze,Amaze,1,18.92
2015,60076,City,City,0,14.46
2016,33988,City,City,1,11.55
2015,60000,Brio,Brio,1,1.73
2009,87934,City,City,0,3.27
2017,9000,City,City,0,22.25
2016,5464,Brio,Brio,0,22.74
